runid,recall,precision,f-score
10_ROUGE-2,0.09091,0.02532,0.03961
11_ROUGE-2,0.05,0.01299,0.02062
12_ROUGE-2,0,0,0
13_ROUGE-2,0.04545,0.02041,0.02817
14_ROUGE-2,0,0,0
15_ROUGE-2,0.02326,0.01923,0.02105
16_ROUGE-2,0,0,0
17_ROUGE-2,0,0,0
18_ROUGE-2,0.05263,0.01587,0.02439
19_ROUGE-2,0.09091,0.0125,0.02198
1_ROUGE-2,0,0,0
20_ROUGE-2,0.05263,0.0274,0.03604
21_ROUGE-2,0,0,0
22_ROUGE-2,0.1,0.07059,0.08276
23_ROUGE-2,0,0,0
24_ROUGE-2,0,0,0
25_ROUGE-2,0,0,0
26_ROUGE-2,0.02632,0.0122,0.01667
27_ROUGE-2,0,0,0
28_ROUGE-2,0.1,0.03614,0.05309
29_ROUGE-2,0.10714,0.03333,0.05084
2_ROUGE-2,0.06452,0.03704,0.04706
30_ROUGE-2,0.05714,0.0274,0.03704
31_ROUGE-2,0.02,0.01136,0.01449
32_ROUGE-2,0.02326,0.00971,0.0137
33_ROUGE-2,0.03704,0.01818,0.02439
34_ROUGE-2,0.06897,0.03125,0.04301
35_ROUGE-2,0,0,0
36_ROUGE-2,0.02041,0.0137,0.0164
37_ROUGE-2,0.06061,0.01408,0.02285
38_ROUGE-2,0.14035,0.09195,0.11111
39_ROUGE-2,0.07143,0.05769,0.06383
3_ROUGE-2,0,0,0
40_ROUGE-2,0.08696,0.03175,0.04652
41_ROUGE-2,0.01639,0.01111,0.01324
42_ROUGE-2,0,0,0
43_ROUGE-2,0.03571,0.07895,0.04918
44_ROUGE-2,0.11628,0.03356,0.05209
45_ROUGE-2,0.03704,0.025,0.02985
46_ROUGE-2,0,0,0
47_ROUGE-2,0,0,0
48_ROUGE-2,0,0,0
49_ROUGE-2,0,0,0
4_ROUGE-2,0,0,0
50_ROUGE-2,0.03448,0.01163,0.01739
51_ROUGE-2,0.025,0.01587,0.01942
52_ROUGE-2,0.05128,0.04,0.04494
53_ROUGE-2,0,0,0
54_ROUGE-2,0.125,0.07143,0.09091
55_ROUGE-2,0,0,0
56_ROUGE-2,0.06122,0.07143,0.06593
57_ROUGE-2,0.02128,0.01613,0.01835
58_ROUGE-2,0,0,0
59_ROUGE-2,0.04545,0.04878,0.04706
5_ROUGE-2,0,0,0
6_ROUGE-2,0,0,0
7_ROUGE-2,0.07812,0.07692,0.07752
8_ROUGE-2,0.01031,0.01818,0.01316
9_ROUGE-2,0.33333,0.11111,0.16667
