runid,recall,precision,f-score
10_ROUGE-1,0.34783,0.16,0.21918
11_ROUGE-1,0.19048,0.09524,0.12699
12_ROUGE-1,0.12245,0.11765,0.12
13_ROUGE-1,0.21739,0.11905,0.15385
14_ROUGE-1,0.17188,0.23404,0.1982
15_ROUGE-1,0.13208,0.21212,0.16279
16_ROUGE-1,0.22222,0.09524,0.13333
17_ROUGE-1,0.11111,0.0339,0.05195
18_ROUGE-1,0.3,0.2069,0.2449
19_ROUGE-1,0.09615,0.14286,0.11494
1_ROUGE-1,0.20588,0.14894,0.17284
20_ROUGE-1,0.25641,0.20408,0.22727
21_ROUGE-1,0.5,0.19231,0.27778
22_ROUGE-1,0.19672,0.2069,0.20168
23_ROUGE-1,0.4,0.11765,0.18182
24_ROUGE-1,0.16216,0.2,0.1791
25_ROUGE-1,0.2,0.06522,0.09836
26_ROUGE-1,0.12821,0.13158,0.12987
27_ROUGE-1,0.18605,0.15094,0.16667
28_ROUGE-1,0.25806,0.13793,0.17977
29_ROUGE-1,0.24138,0.15217,0.18666
2_ROUGE-1,0.25,0.16981,0.20225
30_ROUGE-1,0.05556,0.13333,0.07844
31_ROUGE-1,0.11765,0.12766,0.12245
32_ROUGE-1,0.18182,0.25,0.21053
33_ROUGE-1,0.10714,0.08333,0.09375
34_ROUGE-1,0.28571,0.21277,0.2439
35_ROUGE-1,0.1,0.26316,0.14493
36_ROUGE-1,0.02632,0.0303,0.02817
37_ROUGE-1,0.29412,0.09615,0.14492
38_ROUGE-1,0.2069,0.2,0.20339
39_ROUGE-1,0.16279,0.26923,0.2029
3_ROUGE-1,0.13333,0.14286,0.13793
40_ROUGE-1,0.33333,0.16,0.21622
41_ROUGE-1,0.13333,0.20513,0.16161
42_ROUGE-1,0.04615,0.07143,0.05607
43_ROUGE-1,0.11111,0.16,0.13115
44_ROUGE-1,0.13636,0.2069,0.16438
45_ROUGE-1,0.18182,0.18605,0.18391
46_ROUGE-1,0.24138,0.25926,0.25
47_ROUGE-1,0.25,0.20455,0.225
48_ROUGE-1,0.09091,0.2,0.125
49_ROUGE-1,0.08333,0.08889,0.08602
4_ROUGE-1,0.12821,0.13514,0.13158
50_ROUGE-1,0.26667,0.2,0.22857
51_ROUGE-1,0.09434,0.13514,0.11111
52_ROUGE-1,0.175,0.15909,0.16667
53_ROUGE-1,0.2,0.04918,0.07895
54_ROUGE-1,0.34545,0.36538,0.35514
55_ROUGE-1,0.26087,0.13636,0.1791
56_ROUGE-1,0.1,0.16129,0.12346
57_ROUGE-1,0.14583,0.13462,0.14
58_ROUGE-1,0.15385,0.375,0.21819
59_ROUGE-1,0.08889,0.23529,0.12903
5_ROUGE-1,0.11364,0.125,0.11905
6_ROUGE-1,0.19048,0.09524,0.12699
7_ROUGE-1,0.13846,0.27273,0.18367
8_ROUGE-1,0.09375,0.0625,0.075
9_ROUGE-1,0.35714,0.32258,0.33898
