runid,recall,precision,f-score
10_ROUGE-SU*,0.01415,0.02442,0.01792
11_ROUGE-SU*,0.02162,0.01119,0.01475
12_ROUGE-SU*,0.00817,0.00926,0.00868
13_ROUGE-SU*,0.03636,0.0202,0.02597
14_ROUGE-SU*,0.00673,0.0091,0.00774
15_ROUGE-SU*,0.04348,0.04767,0.04548
16_ROUGE-SU*,0.12353,0.02442,0.04078
17_ROUGE-SU*,0.01176,0.00212,0.00359
18_ROUGE-SU*,0.0622,0.06878,0.06532
19_ROUGE-SU*,0.01256,0.0142,0.01333
1_ROUGE-SU*,0.04377,0.01422,0.02147
20_ROUGE-SU*,0.03752,0.0907,0.05308
21_ROUGE-SU*,0.05742,0.01465,0.02334
22_ROUGE-SU*,0.01587,0.03033,0.02084
23_ROUGE-SU*,0.09259,0.00752,0.01391
24_ROUGE-SU*,0.00954,0.0101,0.00981
25_ROUGE-SU*,0.01091,0.00245,0.004
26_ROUGE-SU*,0.00922,0.0057,0.00704
27_ROUGE-SU*,0.00952,0.01607,0.01196
28_ROUGE-SU*,0.07475,0.01448,0.02426
29_ROUGE-SU*,0.01299,0.0019,0.00332
2_ROUGE-SU*,0.05113,0.03438,0.04111
30_ROUGE-SU*,0.00337,0.01326,0.00537
31_ROUGE-SU*,0.06878,0.00554,0.01025
32_ROUGE-SU*,0.02995,0.01204,0.01718
33_ROUGE-SU*,0.02469,0.01284,0.01689
34_ROUGE-SU*,0.07974,0.09814,0.08799
35_ROUGE-SU*,0.00785,0.03086,0.01252
36_ROUGE-SU*,0.00946,0.00997,0.00971
37_ROUGE-SU*,0.04714,0.00933,0.01558
38_ROUGE-SU*,0.01228,0.02222,0.01582
39_ROUGE-SU*,0.01634,0.02326,0.0192
3_ROUGE-SU*,0.02381,0.01481,0.01826
40_ROUGE-SU*,0.07703,0.05513,0.06427
41_ROUGE-SU*,0.03227,0.06984,0.04414
42_ROUGE-SU*,0.00278,0.00451,0.00344
43_ROUGE-SU*,0.00602,0.01914,0.00916
44_ROUGE-SU*,0.00303,0.01974,0.00525
45_ROUGE-SU*,0.03951,0.02162,0.02795
46_ROUGE-SU*,0.02381,0.00665,0.0104
47_ROUGE-SU*,0.02105,0.01892,0.01993
48_ROUGE-SU*,0.02831,0.14815,0.04754
49_ROUGE-SU*,0.03234,0.04213,0.03659
4_ROUGE-SU*,0.01908,0.00596,0.00908
50_ROUGE-SU*,0.00216,0.00159,0.00183
51_ROUGE-SU*,0.00698,0.00954,0.00806
52_ROUGE-SU*,0.00796,0.00317,0.00453
53_ROUGE-SU*,0.01681,0.00081,0.00155
54_ROUGE-SU*,0.07602,0.08497,0.08025
55_ROUGE-SU*,0.0431,0.01509,0.02235
56_ROUGE-SU*,0.00943,0.03017,0.01437
57_ROUGE-SU*,0.01414,0.00572,0.00815
58_ROUGE-SU*,0.01515,0.02222,0.01802
59_ROUGE-SU*,0.00677,0.01113,0.00842
5_ROUGE-SU*,0.00202,0.00531,0.00293
6_ROUGE-SU*,0.01739,0.00714,0.01012
7_ROUGE-SU*,0.04444,0.00404,0.00741
8_ROUGE-SU*,0.00569,0.00857,0.00684
9_ROUGE-SU*,0.02963,0.05217,0.03779
