runid,recall,precision,f-score
10_ROUGE-1,0.04348,0.02632,0.03279
11_ROUGE-1,0.09524,0.04878,0.06452
12_ROUGE-1,0.18367,0.15789,0.16981
13_ROUGE-1,0.17391,0.09756,0.125
14_ROUGE-1,0.17188,0.12222,0.14286
15_ROUGE-1,0.22642,0.21053,0.21819
16_ROUGE-1,0.22222,0.12,0.15584
17_ROUGE-1,0.16667,0.08108,0.10909
18_ROUGE-1,0.3,0.10345,0.15385
19_ROUGE-1,0.05769,0.13043,0.08
1_ROUGE-1,0.38235,0.16883,0.23423
20_ROUGE-1,0.17949,0.15217,0.1647
21_ROUGE-1,0.4,0.19512,0.26229
22_ROUGE-1,0.16393,0.15152,0.15748
23_ROUGE-1,0.2,0.08,0.11429
24_ROUGE-1,0.10811,0.11429,0.11111
25_ROUGE-1,0.08696,0.03704,0.05195
26_ROUGE-1,0.31034,0.14286,0.19565
27_ROUGE-1,0.20833,0.22222,0.21505
28_ROUGE-1,0.32258,0.16393,0.21739
29_ROUGE-1,0.25,0.07143,0.11111
2_ROUGE-1,0,0,0
30_ROUGE-1,0.12963,0.15556,0.14142
31_ROUGE-1,0.31579,0.04027,0.07143
32_ROUGE-1,0.31034,0.18367,0.23077
33_ROUGE-1,0.14286,0.04819,0.07207
34_ROUGE-1,0.14286,0.11111,0.125
35_ROUGE-1,0.12,0.17647,0.14286
36_ROUGE-1,0.13158,0.07692,0.09709
37_ROUGE-1,0.33333,0.17647,0.23077
38_ROUGE-1,0.25862,0.21429,0.23438
39_ROUGE-1,0.2449,0.26667,0.25532
3_ROUGE-1,0.13333,0.09091,0.10811
40_ROUGE-1,0.15789,0.17647,0.16666
41_ROUGE-1,0.14516,0.19565,0.16667
42_ROUGE-1,0.21739,0.16667,0.18868
43_ROUGE-1,0.11111,0.07018,0.08602
44_ROUGE-1,0.09091,0.09091,0.09091
45_ROUGE-1,0.11364,0.09804,0.10527
46_ROUGE-1,0.18182,0.10811,0.1356
47_ROUGE-1,0.15385,0.17778,0.16495
48_ROUGE-1,0.11364,0.2381,0.15385
49_ROUGE-1,0.1875,0.06383,0.09524
4_ROUGE-1,0.25641,0.09804,0.14184
50_ROUGE-1,0.27778,0.19608,0.22989
51_ROUGE-1,0.13208,0.17073,0.14894
52_ROUGE-1,0.125,0.13514,0.12987
53_ROUGE-1,0.12,0.0566,0.07692
54_ROUGE-1,0.2,0.2037,0.20183
55_ROUGE-1,0.2,0.17143,0.18462
56_ROUGE-1,0.08,0.125,0.09756
57_ROUGE-1,0.125,0.13953,0.13187
58_ROUGE-1,0.17949,0.25926,0.21212
59_ROUGE-1,0.11111,0.10204,0.10638
5_ROUGE-1,0.15909,0.08046,0.10687
6_ROUGE-1,0.10909,0.13953,0.12245
7_ROUGE-1,0.04615,0.07692,0.05769
8_ROUGE-1,0.09184,0.2,0.12588
9_ROUGE-1,0.46429,0.34211,0.39394
