runid,recall,precision,f-score
10_ROUGE-2,0.0566,0.06667,0.06122
11_ROUGE-2,0,0,0
12_ROUGE-2,0,0,0
13_ROUGE-2,0.09091,0.02941,0.04444
14_ROUGE-2,0.01587,0.01754,0.01666
15_ROUGE-2,0.01923,0.02381,0.02128
16_ROUGE-2,0.05882,0.01299,0.02128
17_ROUGE-2,0,0,0
18_ROUGE-2,0,0,0
19_ROUGE-2,0,0,0
1_ROUGE-2,0.01667,0.02041,0.01835
20_ROUGE-2,0.04762,0.0625,0.05405
21_ROUGE-2,0,0,0
22_ROUGE-2,0,0,0
23_ROUGE-2,0.04348,0.02439,0.03125
24_ROUGE-2,0.02941,0.03571,0.03226
25_ROUGE-2,0,0,0
26_ROUGE-2,0.02632,0.01408,0.01835
27_ROUGE-2,0.04255,0.04167,0.04211
28_ROUGE-2,0,0,0
29_ROUGE-2,0.0303,0.02273,0.02597
2_ROUGE-2,0,0,0
30_ROUGE-2,0,0,0
31_ROUGE-2,0.06897,0.06557,0.06723
32_ROUGE-2,0.02326,0.01923,0.02105
33_ROUGE-2,0,0,0
34_ROUGE-2,0.03448,0.025,0.02898
35_ROUGE-2,0.02041,0.02857,0.02381
36_ROUGE-2,0,0,0
37_ROUGE-2,0,0,0
38_ROUGE-2,0.01818,0.02222,0.02
39_ROUGE-2,0.04167,0.05,0.04546
3_ROUGE-2,0,0,0
40_ROUGE-2,0.04348,0.02,0.0274
41_ROUGE-2,0.04918,0.06977,0.05769
42_ROUGE-2,0.03125,0.04444,0.0367
43_ROUGE-2,0,0,0
44_ROUGE-2,0.06977,0.06522,0.06742
45_ROUGE-2,0.11111,0.09375,0.10169
46_ROUGE-2,0.07143,0.03922,0.05064
47_ROUGE-2,0,0,0
48_ROUGE-2,0,0,0
49_ROUGE-2,0,0,0
4_ROUGE-2,0.02632,0.02439,0.02532
50_ROUGE-2,0.02857,0.01667,0.02105
51_ROUGE-2,0.05769,0.06,0.05882
52_ROUGE-2,0.03846,0.0303,0.0339
53_ROUGE-2,0,0,0
54_ROUGE-2,0.03125,0.03636,0.03361
55_ROUGE-2,0.09091,0.06667,0.07693
56_ROUGE-2,0.0566,0.08333,0.06741
57_ROUGE-2,0,0,0
58_ROUGE-2,0,0,0
59_ROUGE-2,0,0,0
5_ROUGE-2,0.01724,0.02381,0.02
6_ROUGE-2,0,0,0
7_ROUGE-2,0.0625,0.06667,0.06452
8_ROUGE-2,0,0,0
9_ROUGE-2,0.44444,0.34286,0.3871
