runid,recall,precision,f-score
10_ROUGE-2,0.0566,0.075,0.06451
11_ROUGE-2,0.02703,0.01923,0.02247
12_ROUGE-2,0.02083,0.02222,0.0215
13_ROUGE-2,0.04545,0.03333,0.03846
14_ROUGE-2,0,0,0
15_ROUGE-2,0.02326,0.02439,0.02381
16_ROUGE-2,0.11765,0.05,0.07018
17_ROUGE-2,0,0,0
18_ROUGE-2,0.10526,0.11111,0.10811
19_ROUGE-2,0.04082,0.04348,0.04211
1_ROUGE-2,0,0,0
20_ROUGE-2,0.09524,0.15,0.11651
21_ROUGE-2,0,0,0
22_ROUGE-2,0.01667,0.02326,0.01942
23_ROUGE-2,0,0,0
24_ROUGE-2,0,0,0
25_ROUGE-2,0,0,0
26_ROUGE-2,0,0,0
27_ROUGE-2,0.04762,0.0625,0.05405
28_ROUGE-2,0.1,0.04286,0.06
29_ROUGE-2,0,0,0
2_ROUGE-2,0.05714,0.04651,0.05128
30_ROUGE-2,0,0,0
31_ROUGE-2,0.01724,0.01493,0.016
32_ROUGE-2,0.04651,0.04444,0.04545
33_ROUGE-2,0.03704,0.02632,0.03077
34_ROUGE-2,0.17241,0.19231,0.18182
35_ROUGE-2,0.02041,0.04167,0.0274
36_ROUGE-2,0,0,0
37_ROUGE-2,0.0303,0.01316,0.01835
38_ROUGE-2,0,0,0
39_ROUGE-2,0.04762,0.05,0.04878
3_ROUGE-2,0,0,0
40_ROUGE-2,0.08696,0.04545,0.0597
41_ROUGE-2,0.08197,0.12195,0.09804
42_ROUGE-2,0,0,0
43_ROUGE-2,0,0,0
44_ROUGE-2,0,0,0
45_ROUGE-2,0.04651,0.05405,0.05
46_ROUGE-2,0,0,0
47_ROUGE-2,0,0,0
48_ROUGE-2,0.02326,0.05556,0.03279
49_ROUGE-2,0.02128,0.02439,0.02273
4_ROUGE-2,0,0,0
50_ROUGE-2,0,0,0
51_ROUGE-2,0.025,0.02941,0.02703
52_ROUGE-2,0,0,0
53_ROUGE-2,0,0,0
54_ROUGE-2,0.05556,0.05882,0.05714
55_ROUGE-2,0.04545,0.02,0.02778
56_ROUGE-2,0.01887,0.03448,0.02439
57_ROUGE-2,0,0,0
58_ROUGE-2,0,0,0
59_ROUGE-2,0,0,0
5_ROUGE-2,0,0,0
6_ROUGE-2,0.05,0.03125,0.03846
7_ROUGE-2,0.08333,0.02326,0.03637
8_ROUGE-2,0,0,0
9_ROUGE-2,0.03704,0.05,0.04256
