runid,recall,precision,f-score
10_ROUGE-1,0.21739,0.1087,0.14493
11_ROUGE-1,0.09524,0.06452,0.07693
12_ROUGE-1,0.125,0.03636,0.05633
13_ROUGE-1,0.21739,0.07246,0.10869
14_ROUGE-1,0.15556,0.12069,0.13592
15_ROUGE-1,0.11364,0.11628,0.11494
16_ROUGE-1,0.33333,0.07692,0.125
17_ROUGE-1,0.16667,0.08108,0.10909
18_ROUGE-1,0.2,0.11429,0.14546
19_ROUGE-1,0.07692,0.12903,0.09638
1_ROUGE-1,0.16393,0.2,0.18018
20_ROUGE-1,0.21875,0.28571,0.24779
21_ROUGE-1,0.2,0.10256,0.13559
22_ROUGE-1,0.21311,0.21311,0.21311
23_ROUGE-1,0.33333,0.11905,0.17544
24_ROUGE-1,0.16216,0.2069,0.18182
25_ROUGE-1,0.08696,0.04348,0.05797
26_ROUGE-1,0.27586,0.11111,0.15841
27_ROUGE-1,0.1875,0.18367,0.18557
28_ROUGE-1,0.13158,0.1,0.11364
29_ROUGE-1,0.2069,0.13333,0.16216
2_ROUGE-1,0.13889,0.12195,0.12987
30_ROUGE-1,0.07407,0.10256,0.08602
31_ROUGE-1,0.26316,0.08065,0.12346
32_ROUGE-1,0.27586,0.15094,0.19512
33_ROUGE-1,0.10714,0.05357,0.07143
34_ROUGE-1,0.2,0.14634,0.16901
35_ROUGE-1,0.07895,0.16667,0.10715
36_ROUGE-1,0.13158,0.10417,0.11628
37_ROUGE-1,0.41667,0.21739,0.28571
38_ROUGE-1,0.10714,0.13043,0.11764
39_ROUGE-1,0.20408,0.2439,0.22222
3_ROUGE-1,0.13636,0.11538,0.125
40_ROUGE-1,0.21053,0.15686,0.17977
41_ROUGE-1,0.20968,0.29545,0.24528
42_ROUGE-1,0.13846,0.19565,0.16216
43_ROUGE-1,0.05556,0.125,0.07693
44_ROUGE-1,0.18182,0.17021,0.17582
45_ROUGE-1,0.21429,0.18182,0.19672
46_ROUGE-1,0.17241,0.09615,0.12345
47_ROUGE-1,0.19444,0.15556,0.17284
48_ROUGE-1,0.18605,0.18182,0.18391
49_ROUGE-1,0.25,0.0597,0.09638
4_ROUGE-1,0.12821,0.11905,0.12346
50_ROUGE-1,0.3,0.14754,0.1978
51_ROUGE-1,0.22642,0.23529,0.23077
52_ROUGE-1,0.07407,0.05882,0.06557
53_ROUGE-1,0,0,0
54_ROUGE-1,0.15385,0.17857,0.16529
55_ROUGE-1,0.13043,0.09677,0.11111
56_ROUGE-1,0.16667,0.24324,0.1978
57_ROUGE-1,0.19355,0.08955,0.12245
58_ROUGE-1,0.07692,0.10345,0.08823
59_ROUGE-1,0.03448,0.06452,0.04494
5_ROUGE-1,0.15254,0.2093,0.17647
6_ROUGE-1,0.14286,0.13043,0.13636
7_ROUGE-1,0.13846,0.14754,0.14286
8_ROUGE-1,0.15625,0.11111,0.12987
9_ROUGE-1,0.57143,0.44444,0.5
