runid,recall,precision,f-score
10_ROUGE-2,0,0,0
11_ROUGE-2,0.05,0.01923,0.02778
12_ROUGE-2,0.06667,0.02273,0.0339
13_ROUGE-2,0.01299,0.02439,0.01695
14_ROUGE-2,0,0,0
15_ROUGE-2,0.04651,0.03279,0.03846
16_ROUGE-2,0,0,0
17_ROUGE-2,0.11765,0.03175,0.05001
18_ROUGE-2,0.10526,0.04348,0.06154
19_ROUGE-2,0,0,0
1_ROUGE-2,0.01667,0.01724,0.01695
20_ROUGE-2,0.03175,0.04651,0.03774
21_ROUGE-2,0.26316,0.11905,0.16394
22_ROUGE-2,0.01754,0.01282,0.01481
23_ROUGE-2,0,0,0
24_ROUGE-2,0,0,0
25_ROUGE-2,0,0,0
26_ROUGE-2,0,0,0
27_ROUGE-2,0.04762,0.03704,0.04167
28_ROUGE-2,0.23333,0.09211,0.13208
29_ROUGE-2,0,0,0
2_ROUGE-2,0.12903,0.06452,0.08602
30_ROUGE-2,0,0,0
31_ROUGE-2,0,0,0
32_ROUGE-2,0.04651,0.02899,0.03572
33_ROUGE-2,0,0,0
34_ROUGE-2,0.17241,0.09434,0.12195
35_ROUGE-2,0.02041,0.0303,0.02439
36_ROUGE-2,0,0,0
37_ROUGE-2,0.15152,0.06173,0.08772
38_ROUGE-2,0.07018,0.05714,0.06299
39_ROUGE-2,0.02381,0.02326,0.02353
3_ROUGE-2,0.19048,0.125,0.15094
40_ROUGE-2,0.04348,0.03571,0.03921
41_ROUGE-2,0.08475,0.06757,0.07519
42_ROUGE-2,0.0625,0.07547,0.06838
43_ROUGE-2,0.03571,0.11538,0.05454
44_ROUGE-2,0.02326,0.02564,0.02439
45_ROUGE-2,0.04651,0.04762,0.04706
46_ROUGE-2,0.19048,0.08511,0.11765
47_ROUGE-2,0,0,0
48_ROUGE-2,0,0,0
49_ROUGE-2,0.02128,0.01695,0.01887
4_ROUGE-2,0.08824,0.04762,0.06186
50_ROUGE-2,0.05714,0.03846,0.04597
51_ROUGE-2,0.05,0.03846,0.04348
52_ROUGE-2,0,0,0
53_ROUGE-2,0,0,0
54_ROUGE-2,0.03704,0.02899,0.03252
55_ROUGE-2,0.04545,0.01818,0.02597
56_ROUGE-2,0.01887,0.03226,0.02381
57_ROUGE-2,0,0,0
58_ROUGE-2,0,0,0
59_ROUGE-2,0.02273,0.02273,0.02273
5_ROUGE-2,0.01724,0.02174,0.01923
6_ROUGE-2,0.1,0.03922,0.05634
7_ROUGE-2,0.08333,0.01923,0.03125
8_ROUGE-2,0,0,0
9_ROUGE-2,0.18519,0.11364,0.14085
