runid,recall,precision,f-score
10_ROUGE-1,0.08696,0.04167,0.05634
11_ROUGE-1,0.19048,0.07547,0.10811
12_ROUGE-1,0.125,0.04444,0.06557
13_ROUGE-1,0.17391,0.09524,0.12308
14_ROUGE-1,0.10938,0.0875,0.09722
15_ROUGE-1,0.18868,0.16129,0.17391
16_ROUGE-1,0.18519,0.11905,0.14493
17_ROUGE-1,0.16667,0.04688,0.07318
18_ROUGE-1,0.3,0.12766,0.1791
19_ROUGE-1,0.15385,0.15385,0.15385
1_ROUGE-1,0.18033,0.18644,0.18333
20_ROUGE-1,0.1875,0.27273,0.22222
21_ROUGE-1,0.4,0.18605,0.25397
22_ROUGE-1,0.21311,0.16456,0.18571
23_ROUGE-1,0.26667,0.08,0.12308
24_ROUGE-1,0.08571,0.08571,0.08571
25_ROUGE-1,0.06667,0.01724,0.0274
26_ROUGE-1,0.06897,0.04255,0.05263
27_ROUGE-1,0.13953,0.10909,0.12245
28_ROUGE-1,0.45161,0.18182,0.25926
29_ROUGE-1,0.17241,0.125,0.14493
2_ROUGE-1,0.33333,0.19048,0.24243
30_ROUGE-1,0.11111,0.12766,0.11881
31_ROUGE-1,0.10526,0.0274,0.04348
32_ROUGE-1,0.31034,0.12857,0.18182
33_ROUGE-1,0.14286,0.08,0.10256
34_ROUGE-1,0.43333,0.24074,0.30952
35_ROUGE-1,0.1,0.14706,0.11905
36_ROUGE-1,0.08,0.09302,0.08602
37_ROUGE-1,0.35294,0.14634,0.20689
38_ROUGE-1,0.2069,0.16901,0.18605
39_ROUGE-1,0.16279,0.15909,0.16092
3_ROUGE-1,0.36364,0.24242,0.29091
40_ROUGE-1,0.21277,0.17544,0.19231
41_ROUGE-1,0.24194,0.2,0.21898
42_ROUGE-1,0.17391,0.14815,0.16
43_ROUGE-1,0.11111,0.14815,0.12698
44_ROUGE-1,0.06818,0.075,0.07143
45_ROUGE-1,0.21429,0.13953,0.16901
46_ROUGE-1,0.36364,0.16667,0.22858
47_ROUGE-1,0.16667,0.17143,0.16902
48_ROUGE-1,0.06818,0.08571,0.07595
49_ROUGE-1,0.1875,0.15,0.16667
4_ROUGE-1,0.23077,0.14062,0.17475
50_ROUGE-1,0.19444,0.13208,0.15731
51_ROUGE-1,0.17073,0.13208,0.14894
52_ROUGE-1,0.07407,0.05405,0.0625
53_ROUGE-1,0.2,0.05618,0.08772
54_ROUGE-1,0.29091,0.22857,0.256
55_ROUGE-1,0.21739,0.08929,0.12659
56_ROUGE-1,0.04,0.0625,0.04878
57_ROUGE-1,0.14583,0.10448,0.12174
58_ROUGE-1,0.17949,0.14286,0.15909
59_ROUGE-1,0.15556,0.15556,0.15556
5_ROUGE-1,0.13636,0.12766,0.13187
6_ROUGE-1,0.33333,0.13462,0.19178
7_ROUGE-1,0.15385,0.03774,0.06061
8_ROUGE-1,0.21875,0.15909,0.18421
9_ROUGE-1,0.35714,0.22222,0.27397
