runid,recall,precision,f-score
10_ROUGE-SU*,0.07636,0.01525,0.02542
11_ROUGE-SU*,0.05946,0.03454,0.0437
12_ROUGE-SU*,0,0,0
13_ROUGE-SU*,0.03636,0.01786,0.02395
14_ROUGE-SU*,0.02405,0.01903,0.02125
15_ROUGE-SU*,0.02123,0.02031,0.02076
16_ROUGE-SU*,0.01765,0.00405,0.00659
17_ROUGE-SU*,0.03529,0.00733,0.01214
18_ROUGE-SU*,0.02871,0.0077,0.01214
19_ROUGE-SU*,0.01177,0.01277,0.01225
1_ROUGE-SU*,0.0404,0.01678,0.02371
20_ROUGE-SU*,0.01443,0.03326,0.02013
21_ROUGE-SU*,0.13397,0.02484,0.04191
22_ROUGE-SU*,0.01287,0.00752,0.00949
23_ROUGE-SU*,0.07563,0.00952,0.01691
24_ROUGE-SU*,0.01113,0.01178,0.01145
25_ROUGE-SU*,0.01455,0.0029,0.00484
26_ROUGE-SU*,0.00691,0.00569,0.00624
27_ROUGE-SU*,0.0127,0.0127,0.0127
28_ROUGE-SU*,0.06667,0.01449,0.02381
29_ROUGE-SU*,0.03896,0.00333,0.00614
2_ROUGE-SU*,0.08872,0.0345,0.04968
30_ROUGE-SU*,0.00902,0.0058,0.00706
31_ROUGE-SU*,0.01587,0.0017,0.00307
32_ROUGE-SU*,0.01517,0.01331,0.01418
33_ROUGE-SU*,0.03951,0.0186,0.02529
34_ROUGE-SU*,0.06681,0.03437,0.04539
35_ROUGE-SU*,0.0041,0.03704,0.00738
36_ROUGE-SU*,0.00549,0.00677,0.00606
37_ROUGE-SU*,0.0303,0.00725,0.0117
38_ROUGE-SU*,0.00752,0.01395,0.00977
39_ROUGE-SU*,0.04233,0.03019,0.03524
3_ROUGE-SU*,0.04365,0.02087,0.02824
40_ROUGE-SU*,0.08696,0.02515,0.03902
41_ROUGE-SU*,0.02152,0.03297,0.02604
42_ROUGE-SU*,0.01759,0.01686,0.01722
43_ROUGE-SU*,0.00794,0.08951,0.01459
44_ROUGE-SU*,0.00809,0.01429,0.01033
45_ROUGE-SU*,0.04938,0.0318,0.03869
46_ROUGE-SU*,0.02778,0.00899,0.01358
47_ROUGE-SU*,0.01955,0.01669,0.01801
48_ROUGE-SU*,0.00529,0.01818,0.0082
49_ROUGE-SU*,0.03064,0.02614,0.02821
4_ROUGE-SU*,0.02703,0.01146,0.0161
50_ROUGE-SU*,0.01078,0.00642,0.00805
51_ROUGE-SU*,0.0035,0.00893,0.00503
52_ROUGE-SU*,0.00366,0.00303,0.00332
53_ROUGE-SU*,0.03395,0.00513,0.00891
54_ROUGE-SU*,0.07277,0.07547,0.0741
55_ROUGE-SU*,0.02909,0.00741,0.01181
56_ROUGE-SU*,0.00404,0.01071,0.00587
57_ROUGE-SU*,0.00766,0.00706,0.00735
58_ROUGE-SU*,0.01515,0.02074,0.01751
59_ROUGE-SU*,0.01161,0.01213,0.01186
5_ROUGE-SU*,0.00113,0.00461,0.00182
6_ROUGE-SU*,0.06087,0.01191,0.01992
7_ROUGE-SU*,0.00746,0.01618,0.01021
8_ROUGE-SU*,0.03605,0.03393,0.03496
9_ROUGE-SU*,0.09877,0.12346,0.10974
