runid,recall,precision,f-score
10_ROUGE-SU*,0.07273,0.00962,0.01699
11_ROUGE-SU*,0.08261,0.00323,0.00622
12_ROUGE-SU*,0.02696,0.02397,0.02538
13_ROUGE-SU*,0.16364,0.01008,0.01899
14_ROUGE-SU*,0.02611,0.00674,0.01071
15_ROUGE-SU*,0.03916,0.02192,0.02811
16_ROUGE-SU*,0.08235,0.00819,0.0149
17_ROUGE-SU*,0.01765,0.00226,0.00401
18_ROUGE-SU*,0.10048,0.01228,0.02189
19_ROUGE-SU*,0.12987,0.00926,0.01729
1_ROUGE-SU*,0.07071,0.01026,0.01792
20_ROUGE-SU*,0.04521,0.04816,0.04664
21_ROUGE-SU*,0.2201,0.02515,0.04514
22_ROUGE-SU*,0.04233,0.02532,0.03169
23_ROUGE-SU*,0.10924,0.00688,0.01294
24_ROUGE-SU*,0.0159,0.00887,0.01139
25_ROUGE-SU*,0.10084,0.0018,0.00354
26_ROUGE-SU*,0.03226,0.01354,0.01907
27_ROUGE-SU*,0.02128,0.01816,0.0196
28_ROUGE-SU*,0.08485,0.01436,0.02456
29_ROUGE-SU*,0.07834,0.01369,0.02331
2_ROUGE-SU*,0.10827,0.03937,0.05774
30_ROUGE-SU*,0.02707,0.01667,0.02063
31_ROUGE-SU*,0.01587,0.00278,0.00473
32_ROUGE-SU*,0.01152,0.00554,0.00748
33_ROUGE-SU*,0.00741,0.0017,0.00277
34_ROUGE-SU*,0.08267,0.04082,0.05465
35_ROUGE-SU*,0.01334,0.06182,0.02194
36_ROUGE-SU*,0.02973,0.00503,0.0086
37_ROUGE-SU*,0.15152,0.01398,0.0256
38_ROUGE-SU*,0.03743,0.03743,0.03743
39_ROUGE-SU*,0.01062,0.00523,0.00701
3_ROUGE-SU*,0.03571,0.01708,0.02311
40_ROUGE-SU*,0.12709,0.04021,0.06109
41_ROUGE-SU*,0.08197,0.07463,0.07813
42_ROUGE-SU*,0.0042,0.0091,0.00575
43_ROUGE-SU*,0.01615,0.05966,0.02542
44_ROUGE-SU*,0.01719,0.01105,0.01345
45_ROUGE-SU*,0.02831,0.02198,0.02475
46_ROUGE-SU*,0.0553,0.03419,0.04226
47_ROUGE-SU*,0.03759,0.02418,0.02943
48_ROUGE-SU*,0.03033,0.08571,0.0448
49_ROUGE-SU*,0.02979,0.00722,0.01162
4_ROUGE-SU*,0.08585,0.00351,0.00674
50_ROUGE-SU*,0.15302,0.01352,0.02484
51_ROUGE-SU*,0.03721,0.01639,0.02276
52_ROUGE-SU*,0.01326,0.00949,0.01106
53_ROUGE-SU*,0.06723,0.00098,0.00193
54_ROUGE-SU*,0.09942,0.05231,0.06855
55_ROUGE-SU*,0.01293,0.00256,0.00427
56_ROUGE-SU*,0.02695,0.03268,0.02954
57_ROUGE-SU*,0.04766,0.01687,0.02492
58_ROUGE-SU*,0.05648,0.03595,0.04393
59_ROUGE-SU*,0.05319,0.0291,0.03762
5_ROUGE-SU*,0.01011,0.01351,0.01157
6_ROUGE-SU*,0.06087,0.00548,0.01005
7_ROUGE-SU*,0.01819,0.02361,0.02055
8_ROUGE-SU*,0.03985,0.00326,0.00603
9_ROUGE-SU*,0.2,0.02501,0.04446
