runid,recall,precision,f-score
10_ROUGE-1,0.0597,0.28571,0.09876
11_ROUGE-1,0.11111,0.33333,0.16667
12_ROUGE-1,0.11765,0.28571,0.16667
13_ROUGE-1,0.01695,0.05263,0.02564
14_ROUGE-1,0.04688,0.3,0.08109
15_ROUGE-1,0.03509,0.09091,0.05064
16_ROUGE-1,0.07547,0.23529,0.11428
17_ROUGE-1,0.05172,0.23077,0.0845
18_ROUGE-1,0.03636,0.22222,0.06249
19_ROUGE-1,0.14286,0.34615,0.20225
1_ROUGE-1,0.05085,0.33333,0.08824
20_ROUGE-1,0.19697,0.5,0.28261
21_ROUGE-1,0.04762,0.1875,0.07595
22_ROUGE-1,0.04082,0.11765,0.06061
23_ROUGE-1,0.05357,0.1875,0.08333
24_ROUGE-1,0.01639,0.05882,0.02564
25_ROUGE-1,0.01667,0.09091,0.02817
26_ROUGE-1,0,0,0
27_ROUGE-1,0.01613,0.07143,0.02632
28_ROUGE-1,0.03571,0.11765,0.05479
29_ROUGE-1,0.04054,0.25,0.06977
2_ROUGE-1,0.07547,0.33333,0.12307
30_ROUGE-1,0.14035,0.47059,0.21622
3_ROUGE-1,0.04918,0.1875,0.07792
4_ROUGE-1,0.01852,0.07143,0.02941
5_ROUGE-1,0.07937,0.35714,0.12988
6_ROUGE-1,0.14286,0.4,0.21053
7_ROUGE-1,0.11765,0.33333,0.17392
8_ROUGE-1,0.07463,0.26316,0.11628
9_ROUGE-1,0.13559,0.47059,0.21052
