runid,recall,precision,f-score
10_ROUGE-1,0.03704,0.04444,0.0404
11_ROUGE-1,0.2381,0.11905,0.15873
12_ROUGE-1,0.20408,0.27027,0.23256
13_ROUGE-1,0.21739,0.08333,0.12048
14_ROUGE-1,0.2,0.13235,0.15929
15_ROUGE-1,0.20755,0.28205,0.23913
16_ROUGE-1,0.37037,0.19608,0.25641
17_ROUGE-1,0.11111,0.04651,0.06557
18_ROUGE-1,0.2,0.13333,0.16
19_ROUGE-1,0.15385,0.14035,0.14679
1_ROUGE-1,0.14706,0.09434,0.11494
20_ROUGE-1,0.21875,0.27451,0.24348
21_ROUGE-1,0.25,0.08772,0.12987
22_ROUGE-1,0.18033,0.17742,0.17886
23_ROUGE-1,0.2,0.10345,0.13637
24_ROUGE-1,0.18919,0.14286,0.16279
25_ROUGE-1,0.13333,0.03125,0.05063
26_ROUGE-1,0.13793,0.09524,0.11268
27_ROUGE-1,0.125,0.11321,0.11881
28_ROUGE-1,0.16129,0.10417,0.12658
29_ROUGE-1,0.2069,0.15789,0.1791
2_ROUGE-1,0.16667,0.13333,0.14815
30_ROUGE-1,0.02778,0.02564,0.02667
31_ROUGE-1,0.31579,0.08696,0.13637
32_ROUGE-1,0.2069,0.10714,0.14117
33_ROUGE-1,0.17857,0.06849,0.09901
34_ROUGE-1,0.1,0.11111,0.10526
35_ROUGE-1,0.10526,0.26667,0.15094
36_ROUGE-1,0.07895,0.06122,0.06896
37_ROUGE-1,0.14706,0.07576,0.1
38_ROUGE-1,0.15517,0.14286,0.14876
39_ROUGE-1,0.12245,0.11111,0.1165
3_ROUGE-1,0.09756,0.14815,0.11765
40_ROUGE-1,0.16667,0.10526,0.12903
41_ROUGE-1,0.22581,0.25455,0.23932
42_ROUGE-1,0.1087,0.09259,0.1
43_ROUGE-1,0.09412,0.20513,0.12903
44_ROUGE-1,0.06818,0.0625,0.06522
45_ROUGE-1,0.28571,0.14286,0.19048
46_ROUGE-1,0.22727,0.14706,0.17857
47_ROUGE-1,0.16667,0.08824,0.11539
48_ROUGE-1,0.16279,0.15909,0.16092
49_ROUGE-1,0.3125,0.07463,0.12049
4_ROUGE-1,0.05128,0.03922,0.04445
50_ROUGE-1,0.13889,0.13889,0.13889
51_ROUGE-1,0.13208,0.18421,0.15385
52_ROUGE-1,0.125,0.14706,0.13514
53_ROUGE-1,0.2,0.07042,0.10416
54_ROUGE-1,0.16364,0.2,0.18
55_ROUGE-1,0.17391,0.07547,0.10526
56_ROUGE-1,0.14815,0.2,0.17021
57_ROUGE-1,0.22581,0.08974,0.12844
58_ROUGE-1,0.17949,0.175,0.17722
59_ROUGE-1,0.33333,0.21739,0.26316
5_ROUGE-1,0.13636,0.11765,0.12632
6_ROUGE-1,0.2,0.18966,0.19469
7_ROUGE-1,0.23077,0.04762,0.07895
8_ROUGE-1,0.09184,0.19149,0.12414
9_ROUGE-1,0.42857,0.2449,0.31169
