runid,recall,precision,f-score
10_ROUGE-1,0.24074,0.10569,0.14689
11_ROUGE-1,0.13158,0.07353,0.09434
12_ROUGE-1,0.16327,0.15094,0.15686
13_ROUGE-1,0.56522,0.14286,0.22807
14_ROUGE-1,0.3125,0.10152,0.15325
15_ROUGE-1,0.25,0.15942,0.19469
16_ROUGE-1,0.25926,0.14286,0.18421
17_ROUGE-1,0.27778,0.06849,0.10989
18_ROUGE-1,0.2,0.07843,0.11267
19_ROUGE-1,0.33333,0.07273,0.11941
1_ROUGE-1,0.27869,0.22078,0.24638
20_ROUGE-1,0.3125,0.29851,0.30534
21_ROUGE-1,0.45,0.16981,0.24657
22_ROUGE-1,0.14754,0.10976,0.12588
23_ROUGE-1,0.4,0.13333,0.2
24_ROUGE-1,0.16216,0.11321,0.13333
25_ROUGE-1,0.2,0.03158,0.05455
26_ROUGE-1,0.17241,0.09091,0.11905
27_ROUGE-1,0.13953,0.12,0.12903
28_ROUGE-1,0.35484,0.14474,0.20561
29_ROUGE-1,0.25,0.05263,0.08695
2_ROUGE-1,0.33333,0.1875,0.24
30_ROUGE-1,0.19444,0.09091,0.12389
31_ROUGE-1,0.10526,0.04348,0.06154
32_ROUGE-1,0.31034,0.1875,0.23376
33_ROUGE-1,0.07143,0.03509,0.04706
34_ROUGE-1,0.3,0.15789,0.20689
35_ROUGE-1,0.18,0.18,0.18
36_ROUGE-1,0.28947,0.13253,0.18182
37_ROUGE-1,0.26471,0.10112,0.14634
38_ROUGE-1,0.17241,0.15385,0.1626
39_ROUGE-1,0.26531,0.18056,0.21488
3_ROUGE-1,0.2439,0.22222,0.23256
40_ROUGE-1,0.375,0.17308,0.23684
41_ROUGE-1,0.20968,0.20968,0.20968
42_ROUGE-1,0.15217,0.10938,0.12727
43_ROUGE-1,0.07059,0.21429,0.1062
44_ROUGE-1,0.13636,0.23077,0.17143
45_ROUGE-1,0.22727,0.20833,0.21739
46_ROUGE-1,0.13636,0.07317,0.09524
47_ROUGE-1,0.34615,0.21951,0.26865
48_ROUGE-1,0.25,0.31429,0.27848
49_ROUGE-1,0.22917,0.13095,0.16667
4_ROUGE-1,0.22857,0.06299,0.09876
50_ROUGE-1,0.22222,0.1194,0.15534
51_ROUGE-1,0.19512,0.13115,0.15686
52_ROUGE-1,0.125,0.10204,0.11236
53_ROUGE-1,0.26667,0.0404,0.07017
54_ROUGE-1,0.49091,0.35065,0.40909
55_ROUGE-1,0.2,0.10526,0.13793
56_ROUGE-1,0.22222,0.25,0.23529
57_ROUGE-1,0.22581,0.0625,0.0979
58_ROUGE-1,0.20588,0.19444,0.2
59_ROUGE-1,0.28889,0.14286,0.19118
5_ROUGE-1,0.13636,0.13043,0.13333
6_ROUGE-1,0.15909,0.25,0.19444
7_ROUGE-1,0.30769,0.04255,0.07476
8_ROUGE-1,0.125,0.05714,0.07843
9_ROUGE-1,0.42857,0.25532,0.32
