runid,recall,precision,f-score
10_ROUGE-1,0.26087,0.09375,0.13793
11_ROUGE-1,0.28571,0.05556,0.09303
12_ROUGE-1,0.16327,0.15385,0.15842
13_ROUGE-1,0.3913,0.09574,0.15384
14_ROUGE-1,0.1875,0.13483,0.15686
15_ROUGE-1,0.26415,0.19718,0.2258
16_ROUGE-1,0.27778,0.08621,0.13158
17_ROUGE-1,0.11111,0.03922,0.05798
18_ROUGE-1,0.35,0.12069,0.17949
19_ROUGE-1,0.33333,0.08696,0.13794
1_ROUGE-1,0.32787,0.22222,0.2649
20_ROUGE-1,0.25,0.25806,0.25397
21_ROUGE-1,0.5,0.16667,0.25
22_ROUGE-1,0.2459,0.18987,0.21428
23_ROUGE-1,0.33333,0.08197,0.13158
24_ROUGE-1,0.10811,0.08511,0.09524
25_ROUGE-1,0.33333,0.04348,0.07693
26_ROUGE-1,0.17241,0.11111,0.13513
27_ROUGE-1,0.1875,0.17308,0.18
28_ROUGE-1,0.35484,0.14474,0.20561
29_ROUGE-1,0.34483,0.14286,0.20202
2_ROUGE-1,0.38889,0.23333,0.29166
30_ROUGE-1,0.16667,0.13043,0.14634
31_ROUGE-1,0.11765,0.13043,0.12371
32_ROUGE-1,0.10345,0.07143,0.08451
33_ROUGE-1,0.10714,0.05085,0.06897
34_ROUGE-1,0.3,0.18,0.225
35_ROUGE-1,0.12,0.26087,0.16438
36_ROUGE-1,0.18,0.09677,0.12587
37_ROUGE-1,0.41176,0.12389,0.19047
38_ROUGE-1,0.2069,0.2069,0.2069
39_ROUGE-1,0.10204,0.07143,0.08403
3_ROUGE-1,0.18182,0.125,0.14815
40_ROUGE-1,0.41667,0.23256,0.29851
41_ROUGE-1,0.32258,0.30769,0.31496
42_ROUGE-1,0.06154,0.09091,0.0734
43_ROUGE-1,0.13889,0.11364,0.125
44_ROUGE-1,0.11364,0.09091,0.10101
45_ROUGE-1,0.20455,0.18,0.19149
46_ROUGE-1,0.2069,0.16216,0.18182
47_ROUGE-1,0.22222,0.17778,0.19753
48_ROUGE-1,0.18182,0.30769,0.22857
49_ROUGE-1,0.1875,0.03061,0.05263
4_ROUGE-1,0.31429,0.06286,0.10477
50_ROUGE-1,0.4,0.11765,0.18182
51_ROUGE-1,0.19512,0.12903,0.15534
52_ROUGE-1,0.11111,0.09375,0.10169
53_ROUGE-1,0.26667,0.0315,0.05634
54_ROUGE-1,0.34545,0.25,0.29007
55_ROUGE-1,0.1,0.04412,0.06123
56_ROUGE-1,0.2037,0.22449,0.21359
57_ROUGE-1,0.25,0.14815,0.18605
58_ROUGE-1,0.23529,0.16327,0.19277
59_ROUGE-1,0.24444,0.18033,0.20755
5_ROUGE-1,0.09091,0.10526,0.09756
6_ROUGE-1,0.28571,0.08451,0.13044
7_ROUGE-1,0.13846,0.15789,0.14754
8_ROUGE-1,0.21875,0.06195,0.09656
9_ROUGE-1,0.57143,0.2,0.2963
