runid,recall,precision,f-score
10_ROUGE-SU*,0.00876,0.01154,0.00996
11_ROUGE-SU*,0.03649,0.0314,0.03375
12_ROUGE-SU*,0.0098,0.00942,0.00961
13_ROUGE-SU*,0.01455,0.0057,0.00819
14_ROUGE-SU*,0.01972,0.04767,0.0279
15_ROUGE-SU*,0.03438,0.03017,0.03214
16_ROUGE-SU*,0.0504,0.02568,0.03402
17_ROUGE-SU*,0.05294,0.00799,0.01388
18_ROUGE-SU*,0.00478,0.00588,0.00527
19_ROUGE-SU*,0.00218,0.00427,0.00289
1_ROUGE-SU*,0.06902,0.04767,0.05639
20_ROUGE-SU*,0.04762,0.06207,0.05389
21_ROUGE-SU*,0.04785,0.0065,0.01145
22_ROUGE-SU*,0.0328,0.0339,0.03334
23_ROUGE-SU*,0.12963,0.01053,0.01948
24_ROUGE-SU*,0.03498,0.02224,0.02719
25_ROUGE-SU*,0.02521,0.00245,0.00447
26_ROUGE-SU*,0.02765,0.01622,0.02045
27_ROUGE-SU*,0.01617,0.01111,0.01317
28_ROUGE-SU*,0.09091,0.02724,0.04192
29_ROUGE-SU*,0.03896,0.0021,0.00399
2_ROUGE-SU*,0.03795,0.02116,0.02717
30_ROUGE-SU*,0.0015,0.2,0.00298
31_ROUGE-SU*,0.01736,0.02953,0.02187
32_ROUGE-SU*,0.01152,0.01152,0.01152
33_ROUGE-SU*,0.01481,0.00733,0.00981
34_ROUGE-SU*,0.03021,0.02707,0.02855
35_ROUGE-SU*,0.00942,0.03704,0.01502
36_ROUGE-SU*,0.00405,0.00691,0.00511
37_ROUGE-SU*,0.01178,0.01857,0.01442
38_ROUGE-SU*,0.03977,0.03598,0.03778
39_ROUGE-SU*,0.04444,0.04247,0.04343
3_ROUGE-SU*,0.01587,0.02116,0.01814
40_ROUGE-SU*,0.06216,0.04449,0.05186
41_ROUGE-SU*,0.03074,0.08547,0.04522
42_ROUGE-SU*,0.01667,0.01741,0.01703
43_ROUGE-SU*,0.00602,0.01739,0.00894
44_ROUGE-SU*,0.00404,0.03846,0.00731
45_ROUGE-SU*,0.03337,0.05246,0.04079
46_ROUGE-SU*,0.04762,0.02143,0.02956
47_ROUGE-SU*,0.07117,0.11395,0.08762
48_ROUGE-SU*,0.01416,0.07407,0.02377
49_ROUGE-SU*,0.01617,0.02011,0.01793
4_ROUGE-SU*,0.02439,0.00943,0.0136
50_ROUGE-SU*,0.05819,0.0273,0.03716
51_ROUGE-SU*,0.00698,0.00855,0.00769
52_ROUGE-SU*,0.01099,0.01607,0.01305
53_ROUGE-SU*,0.04202,0.00119,0.00231
54_ROUGE-SU*,0.02859,0.06617,0.03993
55_ROUGE-SU*,0.06034,0.02198,0.03222
56_ROUGE-SU*,0.02119,0.04293,0.02837
57_ROUGE-SU*,0.01532,0.02432,0.0188
58_ROUGE-SU*,0,0,0
59_ROUGE-SU*,0.04836,0.08418,0.06143
5_ROUGE-SU*,0.01719,0.04198,0.02439
6_ROUGE-SU*,0.02609,0.0101,0.01456
7_ROUGE-SU*,0.03078,0.05617,0.03977
8_ROUGE-SU*,0.01139,0.00607,0.00792
9_ROUGE-SU*,0.02222,0.01607,0.01865
