runid,recall,precision,f-score
10_ROUGE-1,0.17391,0.03604,0.05971
11_ROUGE-1,0.31579,0.11111,0.16438
12_ROUGE-1,0.1875,0.05455,0.08451
13_ROUGE-1,0.3913,0.13636,0.20224
14_ROUGE-1,0.4,0.10056,0.16072
15_ROUGE-1,0.20455,0.12676,0.15652
16_ROUGE-1,0.2963,0.12121,0.17204
17_ROUGE-1,0.27778,0.09091,0.13699
18_ROUGE-1,0.2,0.08889,0.12308
19_ROUGE-1,0.14,0.13208,0.13592
1_ROUGE-1,0.29412,0.14286,0.19231
20_ROUGE-1,0.25,0.24615,0.24806
21_ROUGE-1,0.35,0.11111,0.16867
22_ROUGE-1,0.18033,0.15493,0.16667
23_ROUGE-1,0.26667,0.07143,0.11268
24_ROUGE-1,0.2973,0.18644,0.22917
25_ROUGE-1,0.26667,0.04706,0.08
26_ROUGE-1,0.10345,0.06667,0.08108
27_ROUGE-1,0.25,0.17143,0.20339
28_ROUGE-1,0.64516,0.14815,0.24097
29_ROUGE-1,0.25,0.04478,0.07595
2_ROUGE-1,0.25,0.13235,0.17307
30_ROUGE-1,0.11111,0.05882,0.07692
31_ROUGE-1,0.26316,0.08333,0.12658
32_ROUGE-1,0.44828,0.11504,0.18309
33_ROUGE-1,0.07143,0.03571,0.04762
34_ROUGE-1,0.36667,0.22449,0.27848
35_ROUGE-1,0.04,0.07143,0.05128
36_ROUGE-1,0.12,0.15789,0.13636
37_ROUGE-1,0.44118,0.12712,0.19737
38_ROUGE-1,0.22414,0.16456,0.18978
39_ROUGE-1,0.2093,0.2093,0.2093
3_ROUGE-1,0.22727,0.07692,0.11494
40_ROUGE-1,0.33333,0.13793,0.19512
41_ROUGE-1,0.27419,0.23288,0.25185
42_ROUGE-1,0.08696,0.05,0.06349
43_ROUGE-1,0.12941,0.275,0.176
44_ROUGE-1,0.15909,0.26923,0.2
45_ROUGE-1,0.10714,0.07143,0.08571
46_ROUGE-1,0.31034,0.14062,0.19354
47_ROUGE-1,0.25,0.14516,0.18367
48_ROUGE-1,0.362645,0.16746,0.16027
49_ROUGE-1,0.497915,0.14118,0.203265
4_ROUGE-1,0.37143,0.07879,0.13
50_ROUGE-1,0.3752,0.190615,0.25278
51_ROUGE-1,0.246035,0.147095,0.182805
52_ROUGE-1,0.154165,0.082055,0.101865
53_ROUGE-1,0.23939,0.19993,0.204965
54_ROUGE-1,0.25606,0.216475,0.22565
55_ROUGE-1,0.113335,0.07664,0.083375
56_ROUGE-1,0.196665,0.12796,0.14797
57_ROUGE-1,0.210785,0.125645,0.15493
58_ROUGE-1,0.15523,0.12826,0.140295
59_ROUGE-1,0.22222,0.17544,0.19608
5_ROUGE-1,0.18182,0.11594,0.14159
6_ROUGE-1,0.36364,0.22472,0.27778
7_ROUGE-1,0.2,0.1625,0.17931
8_ROUGE-1,0.22449,0.1746,0.19643
9_ROUGE-1,0.25,0.17949,0.20896
