runid,recall,precision,f-score
10_ROUGE-SU*,0.00727,0.00096,0.0017
11_ROUGE-SU*,0.06957,0.00547,0.01014
12_ROUGE-SU*,0.08889,0.00635,0.01185
13_ROUGE-SU*,0.04,0.00456,0.00819
14_ROUGE-SU*,0.05029,0.0127,0.02028
15_ROUGE-SU*,0.03033,0.02098,0.0248
16_ROUGE-SU*,0.03529,0.0049,0.00861
17_ROUGE-SU*,0.04706,0.00452,0.00825
18_ROUGE-SU*,0.01435,0.00164,0.00294
19_ROUGE-SU*,0.03061,0.01935,0.02371
1_ROUGE-SU*,0.01376,0.01422,0.01399
20_ROUGE-SU*,0.09091,0.07829,0.08413
21_ROUGE-SU*,0.26794,0.02019,0.03755
22_ROUGE-SU*,0.01905,0.00941,0.0126
23_ROUGE-SU*,0.08403,0.0025,0.00486
24_ROUGE-SU*,0.0318,0.02022,0.02472
25_ROUGE-SU*,0.01091,0.00086,0.00159
26_ROUGE-SU*,0.00691,0.0014,0.00233
27_ROUGE-SU*,0.03149,0.01674,0.02186
28_ROUGE-SU*,0.13131,0.0134,0.02432
29_ROUGE-SU*,0.0576,0.0035,0.0066
2_ROUGE-SU*,0.05693,0.01443,0.02302
30_ROUGE-SU*,0.01654,0.00301,0.00509
31_ROUGE-SU*,0.01587,0.00117,0.00218
32_ROUGE-SU*,0.1659,0.01158,0.02165
33_ROUGE-SU*,0.00741,0.00202,0.00317
34_ROUGE-SU*,0.06897,0.01871,0.02943
35_ROUGE-SU*,0.02119,0.0406,0.02785
36_ROUGE-SU*,0.01622,0.00702,0.0098
37_ROUGE-SU*,0.1734,0.02461,0.0431
38_ROUGE-SU*,0.06667,0.03701,0.0476
39_ROUGE-SU*,0.02696,0.0193,0.0225
3_ROUGE-SU*,0.02381,0.00811,0.0121
40_ROUGE-SU*,0.07692,0.00852,0.01534
41_ROUGE-SU*,0.06148,0.04103,0.04922
42_ROUGE-SU*,0.00979,0.01415,0.01157
43_ROUGE-SU*,0.01149,0.02937,0.01652
44_ROUGE-SU*,0.00303,0.00569,0.00395
45_ROUGE-SU*,0.0321,0.00688,0.01133
46_ROUGE-SU*,0.03571,0.00545,0.00946
47_ROUGE-SU*,0.01816,0.01203,0.01447
48_ROUGE-SU*,0.0254,0.02427,0.02482
49_ROUGE-SU*,0.05185,0.00326,0.00613
4_ROUGE-SU*,0.02439,0.00943,0.0136
50_ROUGE-SU*,0.07328,0.01294,0.022
51_ROUGE-SU*,0.01399,0.01348,0.01373
52_ROUGE-SU*,0.02387,0.00952,0.01361
53_ROUGE-SU*,0.09877,0.00988,0.01796
54_ROUGE-SU*,0.02014,0.01033,0.01366
55_ROUGE-SU*,0.01818,0.00363,0.00605
56_ROUGE-SU*,0.0155,0.02674,0.01962
57_ROUGE-SU*,0.0202,0.00439,0.00721
58_ROUGE-SU*,0.00673,0.00212,0.00322
59_ROUGE-SU*,0.03482,0.01679,0.02266
5_ROUGE-SU*,0.02326,0.00981,0.0138
6_ROUGE-SU*,0.02729,0.02937,0.02829
7_ROUGE-SU*,0.04444,0.00137,0.00266
8_ROUGE-SU*,0.02467,0.00401,0.0069
9_ROUGE-SU*,0.15062,0.04266,0.06649
