runid,recall,precision,f-score
10_ROUGE-SU*,0.01091,0.00255,0.00413
11_ROUGE-SU*,0.03378,0.01748,0.02304
12_ROUGE-SU*,0.02963,0.00387,0.00685
13_ROUGE-SU*,0.03636,0.01109,0.017
14_ROUGE-SU*,0.01106,0.0071,0.00865
15_ROUGE-SU*,0.03497,0.02561,0.02957
16_ROUGE-SU*,0.03529,0.00665,0.01119
17_ROUGE-SU*,0.03529,0.00289,0.00534
18_ROUGE-SU*,0.09091,0.01686,0.02844
19_ROUGE-SU*,0.01816,0.01816,0.01816
1_ROUGE-SU*,0.02593,0.0277,0.02679
20_ROUGE-SU*,0.03851,0.03033,0.03393
21_ROUGE-SU*,0.17225,0.0381,0.0624
22_ROUGE-SU*,0.03915,0.02343,0.02932
23_ROUGE-SU*,0.08403,0.00785,0.01436
24_ROUGE-SU*,0.00954,0.00954,0.00954
25_ROUGE-SU*,0.0084,0.00058,0.00109
26_ROUGE-SU*,0.00691,0.00266,0.00384
27_ROUGE-SU*,0.01164,0.00715,0.00886
28_ROUGE-SU*,0.12929,0.02132,0.0366
29_ROUGE-SU*,0.03896,0.00366,0.00669
2_ROUGE-SU*,0.05882,0.01538,0.02438
30_ROUGE-SU*,0.01011,0.01331,0.01149
31_ROUGE-SU*,0.01587,0.00111,0.00207
32_ROUGE-SU*,0.08525,0.0149,0.02537
33_ROUGE-SU*,0.02469,0.00785,0.01191
34_ROUGE-SU*,0.1056,0.03302,0.05031
35_ROUGE-SU*,0.01177,0.02525,0.01606
36_ROUGE-SU*,0.00541,0.00423,0.00475
37_ROUGE-SU*,0.09764,0.01705,0.02903
38_ROUGE-SU*,0.04444,0.02975,0.03564
39_ROUGE-SU*,0.0254,0.02427,0.02482
3_ROUGE-SU*,0.07937,0.03571,0.04926
40_ROUGE-SU*,0.04259,0.02906,0.03455
41_ROUGE-SU*,0.05482,0.03756,0.04458
42_ROUGE-SU*,0.02963,0.02156,0.02496
43_ROUGE-SU*,0.01053,0.01857,0.01344
44_ROUGE-SU*,0.00607,0.00733,0.00664
45_ROUGE-SU*,0.04444,0.01905,0.02667
46_ROUGE-SU*,0.10714,0.02298,0.03784
47_ROUGE-SU*,0.02105,0.02226,0.02164
48_ROUGE-SU*,0.00506,0.00795,0.00618
49_ROUGE-SU*,0.0366,0.02351,0.02863
4_ROUGE-SU*,0.04769,0.01443,0.02216
50_ROUGE-SU*,0.03008,0.01399,0.0191
51_ROUGE-SU*,0.03256,0.01958,0.02445
52_ROUGE-SU*,0.00796,0.00427,0.00556
53_ROUGE-SU*,0.03086,0.0025,0.00463
54_ROUGE-SU*,0.06953,0.04308,0.0532
55_ROUGE-SU*,0.04364,0.00752,0.01283
56_ROUGE-SU*,0.00202,0.00569,0.00298
57_ROUGE-SU*,0.01702,0.00878,0.01158
58_ROUGE-SU*,0.03466,0.02206,0.02696
59_ROUGE-SU*,0.01838,0.01838,0.01838
5_ROUGE-SU*,0.02022,0.01775,0.0189
6_ROUGE-SU*,0.0913,0.01525,0.02613
7_ROUGE-SU*,0.03333,0.0021,0.00395
8_ROUGE-SU*,0.02846,0.01517,0.01979
9_ROUGE-SU*,0.11852,0.04642,0.06671
