runid,recall,precision,f-score
10_ROUGE-2,0.09091,0.03175,0.04706
11_ROUGE-2,0.1,0.01869,0.03149
12_ROUGE-2,0.02083,0.01961,0.0202
13_ROUGE-2,0.13636,0.03226,0.05218
14_ROUGE-2,0,0,0
15_ROUGE-2,0.06977,0.04286,0.0531
16_ROUGE-2,0,0,0
17_ROUGE-2,0.01471,0.02,0.01695
18_ROUGE-2,0.05263,0.01754,0.02631
19_ROUGE-2,0.18182,0.04444,0.07142
1_ROUGE-2,0.03333,0.02247,0.02684
20_ROUGE-2,0.07937,0.08197,0.08065
21_ROUGE-2,0.26316,0.08475,0.12821
22_ROUGE-2,0.03333,0.02564,0.02898
23_ROUGE-2,0,0,0
24_ROUGE-2,0,0,0
25_ROUGE-2,0.07143,0.00877,0.01562
26_ROUGE-2,0,0,0
27_ROUGE-2,0,0,0
28_ROUGE-2,0.16667,0.06667,0.09524
29_ROUGE-2,0.07143,0.02899,0.04124
2_ROUGE-2,0.17143,0.10169,0.12766
30_ROUGE-2,0.02857,0.02222,0.025
31_ROUGE-2,0.01724,0.02222,0.01942
32_ROUGE-2,0,0,0
33_ROUGE-2,0,0,0
34_ROUGE-2,0.06897,0.04082,0.05129
35_ROUGE-2,0.02041,0.04545,0.02817
36_ROUGE-2,0,0,0
37_ROUGE-2,0.06061,0.01786,0.02759
38_ROUGE-2,0.03509,0.03509,0.03509
39_ROUGE-2,0,0,0
3_ROUGE-2,0.025,0.03226,0.02817
40_ROUGE-2,0.21739,0.11905,0.15385
41_ROUGE-2,0.10169,0.09375,0.09756
42_ROUGE-2,0.01562,0.02326,0.01869
43_ROUGE-2,0.04762,0.09302,0.06299
44_ROUGE-2,0.02326,0.01852,0.02062
45_ROUGE-2,0.03704,0.02041,0.02632
46_ROUGE-2,0.10714,0.08333,0.09375
47_ROUGE-2,0,0,0
48_ROUGE-2,0.06977,0.12,0.08824
49_ROUGE-2,0,0,0
4_ROUGE-2,0.02941,0.00575,0.00962
50_ROUGE-2,0.2069,0.05941,0.09231
51_ROUGE-2,0.05,0.03279,0.03961
52_ROUGE-2,0,0,0
53_ROUGE-2,0.04167,0.00794,0.01334
54_ROUGE-2,0.05556,0.04,0.04651
55_ROUGE-2,0.04545,0.01493,0.02248
56_ROUGE-2,0.0566,0.0625,0.0594
57_ROUGE-2,0.04255,0.025,0.0315
58_ROUGE-2,0.05263,0.04167,0.04651
59_ROUGE-2,0.02273,0.01667,0.01923
5_ROUGE-2,0,0,0
6_ROUGE-2,0.01852,0.01429,0.01613
7_ROUGE-2,0.04688,0.05357,0.05
8_ROUGE-2,0,0,0
9_ROUGE-2,0.37037,0.12658,0.18868
