runid,recall,precision,f-score
10_ROUGE-1,0.34783,0.1,0.15534
11_ROUGE-1,0.19048,0.05128,0.08081
12_ROUGE-1,0.20408,0.17857,0.19047
13_ROUGE-1,0.08696,0.04,0.0548
14_ROUGE-1,0.17778,0.12903,0.14953
15_ROUGE-1,0.15909,0.13208,0.14433
16_ROUGE-1,0.25926,0.10769,0.15217
17_ROUGE-1,0.08696,0.09375,0.09023
18_ROUGE-1,0.25,0.07812,0.11904
19_ROUGE-1,0.18,0.11111,0.1374
1_ROUGE-1,0.21311,0.17333,0.19117
20_ROUGE-1,0.25,0.21622,0.23189
21_ROUGE-1,0.35,0.13208,0.19179
22_ROUGE-1,0.31148,0.22093,0.2585
23_ROUGE-1,0.2,0.04918,0.07895
24_ROUGE-1,0.24324,0.17308,0.20225
25_ROUGE-1,0.06667,0.01449,0.02381
26_ROUGE-1,0.24138,0.08434,0.125
27_ROUGE-1,0.0625,0.04688,0.05357
28_ROUGE-1,0.35484,0.13095,0.1913
29_ROUGE-1,0.31034,0.0989,0.15
2_ROUGE-1,0.25,0.14545,0.1839
30_ROUGE-1,0.25,0.12162,0.16363
31_ROUGE-1,0.21569,0.1236,0.15715
32_ROUGE-1,0.27586,0.07692,0.1203
33_ROUGE-1,0.10714,0.05357,0.07143
34_ROUGE-1,0.21569,0.16923,0.18966
35_ROUGE-1,0.08,0.10811,0.09195
36_ROUGE-1,0.08,0.05405,0.06451
37_ROUGE-1,0.36111,0.09091,0.14525
38_ROUGE-1,0.34483,0.22727,0.27397
39_ROUGE-1,0.23256,0.18868,0.20833
3_ROUGE-1,0.14634,0.14286,0.14458
40_ROUGE-1,0.28947,0.17188,0.21569
41_ROUGE-1,0.29032,0.1978,0.23529
42_ROUGE-1,0.1087,0.09259,0.1
43_ROUGE-1,0.13889,0.12821,0.13334
44_ROUGE-1,0.31818,0.09333,0.14433
45_ROUGE-1,0.15909,0.17073,0.1647
46_ROUGE-1,0.18182,0.07018,0.10127
47_ROUGE-1,0.11538,0.11321,0.11428
48_ROUGE-1,0.16279,0.18421,0.17284
49_ROUGE-1,0.25,0.04124,0.0708
4_ROUGE-1,0.11429,0.06349,0.08163
50_ROUGE-1,0.30556,0.12644,0.17887
51_ROUGE-1,0.18868,0.15625,0.17094
52_ROUGE-1,0.275,0.21569,0.24176
53_ROUGE-1,0.13333,0.02985,0.04878
54_ROUGE-1,0.32727,0.15929,0.21428
55_ROUGE-1,0.16667,0.09091,0.11765
56_ROUGE-1,0.22,0.25581,0.23656
57_ROUGE-1,0.22581,0.11111,0.14894
58_ROUGE-1,0.12821,0.16129,0.14286
59_ROUGE-1,0.2,0.21429,0.2069
5_ROUGE-1,0.20455,0.13636,0.16364
6_ROUGE-1,0.28571,0.12245,0.17143
7_ROUGE-1,0.16923,0.16667,0.16794
8_ROUGE-1,0.15625,0.08929,0.11364
9_ROUGE-1,0.67857,0.23171,0.34546
