runid,recall,precision,f-score
10_ROUGE-SU*,0.09455,0.00803,0.0148
11_ROUGE-SU*,0.04348,0.00325,0.00605
12_ROUGE-SU*,0.04444,0.00376,0.00693
13_ROUGE-SU*,0.01091,0.00235,0.00387
14_ROUGE-SU*,0.02708,0.01434,0.01875
15_ROUGE-SU*,0.02123,0.01469,0.01736
16_ROUGE-SU*,0.06631,0.01166,0.01983
17_ROUGE-SU*,0.00746,0.00866,0.00802
18_ROUGE-SU*,0.07177,0.00722,0.01312
19_ROUGE-SU*,0.03896,0.0009,0.00176
1_ROUGE-SU*,0.03386,0.02246,0.02701
20_ROUGE-SU*,0.0481,0.03605,0.04121
21_ROUGE-SU*,0.09091,0.01329,0.02319
22_ROUGE-SU*,0.07018,0.03209,0.04404
23_ROUGE-SU*,0.03704,0.00106,0.00206
24_ROUGE-SU*,0.04293,0.01961,0.02692
25_ROUGE-SU*,0.0084,0.00041,0.00078
26_ROUGE-SU*,0.0553,0.00689,0.01225
27_ROUGE-SU*,0.00635,0.00289,0.00397
28_ROUGE-SU*,0.09293,0.01289,0.02264
29_ROUGE-SU*,0.09217,0.00956,0.01732
2_ROUGE-SU*,0.05503,0.01884,0.02807
30_ROUGE-SU*,0.05414,0.01298,0.02094
31_ROUGE-SU*,0.04579,0.02023,0.02806
32_ROUGE-SU*,0.08065,0.00641,0.01188
33_ROUGE-SU*,0.01481,0.00376,0.006
34_ROUGE-SU*,0.04453,0.02752,0.03402
35_ROUGE-SU*,0.00549,0.00997,0.00708
36_ROUGE-SU*,0.00628,0.00288,0.00395
37_ROUGE-SU*,0.1188,0.00767,0.01441
38_ROUGE-SU*,0.11579,0.05057,0.0704
39_ROUGE-SU*,0.03386,0.02238,0.02695
3_ROUGE-SU*,0.02381,0.00665,0.0104
40_ROUGE-SU*,0.07027,0.02501,0.03689
41_ROUGE-SU*,0.06711,0.0313,0.04269
42_ROUGE-SU*,0.01481,0.01078,0.01248
43_ROUGE-SU*,0.01805,0.0154,0.01662
44_ROUGE-SU*,0.1001,0.00874,0.01608
45_ROUGE-SU*,0.01921,0.02209,0.02055
46_ROUGE-SU*,0.02778,0.00424,0.00736
47_ROUGE-SU*,0.01162,0.01119,0.0114
48_ROUGE-SU*,0.02629,0.03514,0.03008
49_ROUGE-SU*,0.05926,0.00168,0.00327
4_ROUGE-SU*,0.01272,0.00397,0.00605
50_ROUGE-SU*,0.05819,0.00706,0.01259
51_ROUGE-SU*,0.02238,0.01539,0.01824
52_ROUGE-SU*,0.05983,0.03698,0.04571
53_ROUGE-SU*,0.02521,0.00132,0.00251
54_ROUGE-SU*,0.07992,0.0191,0.03083
55_ROUGE-SU*,0.03017,0.0091,0.01398
56_ROUGE-SU*,0.03369,0.05291,0.04117
57_ROUGE-SU*,0.03838,0.00943,0.01514
58_ROUGE-SU*,0.01797,0.02828,0.02198
59_ROUGE-SU*,0.02515,0.02882,0.02686
5_ROUGE-SU*,0.02629,0.01176,0.01625
6_ROUGE-SU*,0.07391,0.01389,0.02339
7_ROUGE-SU*,0.02845,0.0276,0.02802
8_ROUGE-SU*,0.02467,0.00815,0.01225
9_ROUGE-SU*,0.4321,0.05144,0.09194
