runid,recall,precision,f-score
10_ROUGE-2,0,0,0
11_ROUGE-2,0,0,0
12_ROUGE-2,0,0,0
13_ROUGE-2,0.01299,0.02439,0.01695
14_ROUGE-2,0.01587,0.0119,0.0136
15_ROUGE-2,0.04651,0.03077,0.03704
16_ROUGE-2,0.11765,0.04444,0.06451
17_ROUGE-2,0.01471,0.01887,0.01653
18_ROUGE-2,0,0,0
19_ROUGE-2,0,0,0
1_ROUGE-2,0,0,0
20_ROUGE-2,0.03175,0.06897,0.04348
21_ROUGE-2,0,0,0
22_ROUGE-2,0.01754,0.0137,0.01538
23_ROUGE-2,0.14286,0.02778,0.04651
24_ROUGE-2,0,0,0
25_ROUGE-2,0,0,0
26_ROUGE-2,0.02632,0.02128,0.02353
27_ROUGE-2,0.04762,0.05263,0.05
28_ROUGE-2,0.16667,0.06329,0.09174
29_ROUGE-2,0,0,0
2_ROUGE-2,0.09677,0.06522,0.07792
30_ROUGE-2,0,0,0
31_ROUGE-2,0,0,0
32_ROUGE-2,0,0,0
33_ROUGE-2,0,0,0
34_ROUGE-2,0.10345,0.075,0.08696
35_ROUGE-2,0.02041,0.02941,0.0241
36_ROUGE-2,0.02703,0.01818,0.02174
37_ROUGE-2,0.09091,0.04348,0.05883
38_ROUGE-2,0,0,0
39_ROUGE-2,0.02381,0.02703,0.02532
3_ROUGE-2,0.09524,0.0625,0.07547
40_ROUGE-2,0.21739,0.09434,0.13158
41_ROUGE-2,0.0678,0.07843,0.07273
42_ROUGE-2,0,0,0
43_ROUGE-2,0,0,0
44_ROUGE-2,0.02326,0.02381,0.02353
45_ROUGE-2,0.06977,0.07692,0.07317
46_ROUGE-2,0.09524,0.04444,0.0606
47_ROUGE-2,0,0,0
48_ROUGE-2,0,0,0
49_ROUGE-2,0,0,0
4_ROUGE-2,0.08824,0.04839,0.0625
50_ROUGE-2,0.03448,0.02778,0.03077
51_ROUGE-2,0.075,0.0625,0.06818
52_ROUGE-2,0,0,0
53_ROUGE-2,0,0,0
54_ROUGE-2,0.01852,0.0137,0.01575
55_ROUGE-2,0.04545,0.02174,0.02941
56_ROUGE-2,0.01887,0.03125,0.02353
57_ROUGE-2,0,0,0
58_ROUGE-2,0.0303,0.02941,0.02985
59_ROUGE-2,0.06818,0.0625,0.06522
5_ROUGE-2,0,0,0
6_ROUGE-2,0,0,0
7_ROUGE-2,0.08333,0.01961,0.03175
8_ROUGE-2,0,0,0
9_ROUGE-2,0.18519,0.12195,0.14706
