runid,recall,precision,f-score
10_ROUGE-1,0.13043,0.04054,0.06185
11_ROUGE-1,0.19048,0.0625,0.09412
12_ROUGE-1,0.125,0.03774,0.05798
13_ROUGE-1,0.21739,0.06849,0.10416
14_ROUGE-1,0.17188,0.16667,0.16923
15_ROUGE-1,0.34091,0.18072,0.23622
16_ROUGE-1,0.22222,0.125,0.16
17_ROUGE-1,0.05556,0.02041,0.02985
18_ROUGE-1,0.3,0.09231,0.14118
19_ROUGE-1,0.13462,0.13208,0.13334
1_ROUGE-1,0.32353,0.13095,0.18644
20_ROUGE-1,0.25641,0.13699,0.17857
21_ROUGE-1,0.35,0.1129,0.17073
22_ROUGE-1,0.16393,0.14286,0.15267
23_ROUGE-1,0.33333,0.1087,0.16394
24_ROUGE-1,0.21622,0.19048,0.20254
25_ROUGE-1,0.2,0.03947,0.06593
26_ROUGE-1,0.20513,0.12121,0.15238
27_ROUGE-1,0.25581,0.18333,0.21359
28_ROUGE-1,0.41935,0.13978,0.20967
29_ROUGE-1,0.31034,0.08257,0.13044
2_ROUGE-1,0.34375,0.16923,0.2268
30_ROUGE-1,0.22222,0.14035,0.17204
31_ROUGE-1,0.07843,0.07143,0.07477
32_ROUGE-1,0.27586,0.08421,0.12903
33_ROUGE-1,0.14286,0.05882,0.08333
34_ROUGE-1,0.25714,0.15517,0.19355
35_ROUGE-1,0.14,0.14,0.14
36_ROUGE-1,0.14,0.07368,0.09655
37_ROUGE-1,0.32353,0.1068,0.16059
38_ROUGE-1,0.2069,0.1791,0.192
39_ROUGE-1,0.16279,0.12963,0.14433
3_ROUGE-1,0.18182,0.13333,0.15384
40_ROUGE-1,0.20833,0.07692,0.11236
41_ROUGE-1,0.24194,0.20833,0.22388
42_ROUGE-1,0.12308,0.14035,0.13115
43_ROUGE-1,0.11765,0.2,0.14815
44_ROUGE-1,0.18182,0.17391,0.17778
45_ROUGE-1,0.18182,0.14286,0.16
46_ROUGE-1,0.13636,0.06522,0.08824
47_ROUGE-1,0.19444,0.14583,0.16666
48_ROUGE-1,0.34884,0.11719,0.17544
49_ROUGE-1,0.1875,0.09574,0.12676
4_ROUGE-1,0.10256,0.06667,0.08081
50_ROUGE-1,0.33333,0.16393,0.21978
51_ROUGE-1,0.21951,0.14754,0.17647
52_ROUGE-1,0.11111,0.09091,0.1
53_ROUGE-1,0.13333,0.03077,0.05
54_ROUGE-1,0.27273,0.19737,0.22901
55_ROUGE-1,0.2,0.08955,0.12371
56_ROUGE-1,0.07407,0.08696,0.08
57_ROUGE-1,0.10417,0.07463,0.08696
58_ROUGE-1,0.12821,0.16129,0.14286
59_ROUGE-1,0.31111,0.24138,0.27184
5_ROUGE-1,0.27273,0.10909,0.15584
6_ROUGE-1,0.33333,0.15217,0.20895
7_ROUGE-1,0.30769,0.20619,0.24692
8_ROUGE-1,0.15625,0.05682,0.08334
9_ROUGE-1,0.5,0.25455,0.33735
