runid,recall,precision,f-score
10_ROUGE-SU*,0.00727,0.00157,0.00258
11_ROUGE-SU*,0.01304,0.00317,0.0051
12_ROUGE-SU*,0.00741,0.00106,0.00185
13_ROUGE-SU*,0.06909,0.01074,0.01859
14_ROUGE-SU*,0.02405,0.01249,0.01644
15_ROUGE-SU*,0.03741,0.02023,0.02626
16_ROUGE-SU*,0.08824,0.01132,0.02007
17_ROUGE-SU*,0.01781,0.01683,0.01731
18_ROUGE-SU*,0.02871,0.00376,0.00665
19_ROUGE-SU*,0.01334,0.02076,0.01624
1_ROUGE-SU*,0.02646,0.03369,0.02964
20_ROUGE-SU*,0.06926,0.06716,0.06819
21_ROUGE-SU*,0.03349,0.00899,0.01417
22_ROUGE-SU*,0.02105,0.0137,0.0166
23_ROUGE-SU*,0.05882,0.00424,0.00791
24_ROUGE-SU*,0.0159,0.00967,0.01203
25_ROUGE-SU*,0.01091,0.00202,0.00341
26_ROUGE-SU*,0.00128,0.00085,0.00102
27_ROUGE-SU*,0.02116,0.01131,0.01474
28_ROUGE-SU*,0.07475,0.00924,0.01645
29_ROUGE-SU*,0.01382,0.00436,0.00663
2_ROUGE-SU*,0.08729,0.02146,0.03445
30_ROUGE-SU*,0.01053,0.00424,0.00605
31_ROUGE-SU*,0.02646,0.00201,0.00374
32_ROUGE-SU*,0.03456,0.00975,0.01521
33_ROUGE-SU*,0.00247,0.00063,0.001
34_ROUGE-SU*,0.11853,0.04681,0.06711
35_ROUGE-SU*,0.0157,0.0157,0.0157
36_ROUGE-SU*,0.00946,0.00396,0.00558
37_ROUGE-SU*,0.07912,0.02333,0.03603
38_ROUGE-SU*,0.03099,0.02472,0.0275
39_ROUGE-SU*,0.02011,0.01434,0.01674
3_ROUGE-SU*,0.05952,0.02256,0.03272
40_ROUGE-SU*,0.06355,0.00973,0.01688
41_ROUGE-SU*,0.01695,0.02089,0.01871
42_ROUGE-SU*,0.01944,0.01271,0.01537
43_ROUGE-SU*,0.01697,0.14286,0.03034
44_ROUGE-SU*,0.0364,0.01732,0.02347
45_ROUGE-SU*,0.07786,0.05811,0.06655
46_ROUGE-SU*,0.18651,0.0257,0.04518
47_ROUGE-SU*,0.02256,0.01331,0.01674
48_ROUGE-SU*,0.02116,0.01934,0.02021
49_ROUGE-SU*,0.04444,0.00351,0.00651
4_ROUGE-SU*,0.05087,0.01326,0.02104
50_ROUGE-SU*,0.03759,0.01323,0.01957
51_ROUGE-SU*,0.00839,0.01213,0.00992
52_ROUGE-SU*,0.03297,0.025,0.02844
53_ROUGE-SU*,0.0084,0.00093,0.00167
54_ROUGE-SU*,0.03574,0.01657,0.02264
55_ROUGE-SU*,0.01293,0.00404,0.00616
56_ROUGE-SU*,0.00202,0.01091,0.00341
57_ROUGE-SU*,0.00606,0.00136,0.00222
58_ROUGE-SU*,0.05006,0.02628,0.03447
59_ROUGE-SU*,0.04836,0.02924,0.03644
5_ROUGE-SU*,0.01719,0.00961,0.01233
6_ROUGE-SU*,0.10435,0.01453,0.02551
7_ROUGE-SU*,0.02612,0.03166,0.02862
8_ROUGE-SU*,0.00759,0.00488,0.00594
9_ROUGE-SU*,0.15556,0.04575,0.07071
