runid,recall,precision,f-score
10_ROUGE-2,0.13636,0.06818,0.09091
11_ROUGE-2,0.02703,0.02128,0.02381
12_ROUGE-2,0.06667,0.02326,0.03449
13_ROUGE-2,0.02597,0.05882,0.03603
14_ROUGE-2,0.01587,0.0119,0.0136
15_ROUGE-2,0.04651,0.04,0.04301
16_ROUGE-2,0.03846,0.02174,0.02778
17_ROUGE-2,0.17647,0.06122,0.0909
18_ROUGE-2,0.10526,0.04348,0.06154
19_ROUGE-2,0,0,0
1_ROUGE-2,0,0,0
20_ROUGE-2,0.07937,0.13514,0.10001
21_ROUGE-2,0.125,0.06522,0.08572
22_ROUGE-2,0.03509,0.02105,0.02631
23_ROUGE-2,0.11111,0.02273,0.03774
24_ROUGE-2,0,0,0
25_ROUGE-2,0,0,0
26_ROUGE-2,0.02632,0.02703,0.02667
27_ROUGE-2,0.04762,0.04651,0.04706
28_ROUGE-2,0.16667,0.06849,0.09708
29_ROUGE-2,0.0303,0.02632,0.02817
2_ROUGE-2,0.16129,0.08772,0.11364
30_ROUGE-2,0,0,0
31_ROUGE-2,0,0,0
32_ROUGE-2,0.02326,0.02041,0.02174
33_ROUGE-2,0,0,0
34_ROUGE-2,0.06897,0.04545,0.05479
35_ROUGE-2,0.02041,0.04,0.02703
36_ROUGE-2,0,0,0
37_ROUGE-2,0.15152,0.06173,0.08772
38_ROUGE-2,0,0,0
39_ROUGE-2,0.04167,0.04545,0.04348
3_ROUGE-2,0.04762,0.03571,0.04081
40_ROUGE-2,0.08696,0.04167,0.05634
41_ROUGE-2,0.01695,0.01852,0.0177
42_ROUGE-2,0.07812,0.09091,0.08403
43_ROUGE-2,0.03571,0.125,0.05555
44_ROUGE-2,0,0,0
45_ROUGE-2,0.04651,0.05405,0.05
46_ROUGE-2,0.04762,0.02439,0.03226
47_ROUGE-2,0,0,0
48_ROUGE-2,0,0,0
49_ROUGE-2,0.02128,0.02222,0.02174
4_ROUGE-2,0.08824,0.04688,0.06123
50_ROUGE-2,0.05714,0.05,0.05333
51_ROUGE-2,0.01923,0.02083,0.02
52_ROUGE-2,0,0,0
53_ROUGE-2,0,0,0
54_ROUGE-2,0.01852,0.01754,0.01802
55_ROUGE-2,0.09091,0.03774,0.05334
56_ROUGE-2,0.01887,0.03226,0.02381
57_ROUGE-2,0,0,0
58_ROUGE-2,0,0,0
59_ROUGE-2,0.04545,0.04255,0.04395
5_ROUGE-2,0,0,0
6_ROUGE-2,0.2,0.08163,0.11594
7_ROUGE-2,0.03125,0.04082,0.0354
8_ROUGE-2,0.01031,0.03226,0.01563
9_ROUGE-2,0.22222,0.2,0.21053
